pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,832.79
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,839.88
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,846.74
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,850.38
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,845.98
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,839.24
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,834.66
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,837.35
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,844.63
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,851.97
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,854.95
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,852.28
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,845.76
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,841.39
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,845.1
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,852.77
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,859.63
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,863.15
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,856.88
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,852.6
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,849.07
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,855.02
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,860.39
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,868.87
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,872.03
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,867.35
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,862.71
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,857.4
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,866.55
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,871.84
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,878.09
